
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075
 
 Iteration   Func-count     min f(x)         Procedure
   233          494          241.734         contract inside
   234          495          241.734         reflect
   235          496          241.734         reflect
   236          498          241.734         contract inside
   237          505          241.734         shrink
 
Exiting: Maximum number of function evaluations has been exceeded
         - increase MaxFunEvals option.
         Current function value: 241.734356 


Obj. function:	    241.7344

theta1:	   -9.918045   -0.405636   -9.540103   -6.318792    4.659902   -4.403726

theta2	   -4.468051   -0.738606    0.081824    0.455905   -0.661344

gradient-analytical
            2.1627
           14.8063
           -2.5897
            8.5285
           10.8392

gradient-numerical I
           16.9688
           62.5593
           -1.1755
            1.1934
            1.1931

gradient-numerical II
            2.1627
           14.8063
           -2.5897
            8.5285
           10.8392

hessian eigenvalues-numerical I
       -35007.6870
       -15005.9883
          225.8815
        32832.8321
        42486.4193

hessian eigenvalues-numerical II
          -18.3201
            3.0130
           36.1988
          173.1392
          266.5616

========================================================================
                       optimization routine : 2
                     set of starting values : 2
========================================================================
theta2 starting values:
   -1.834895   -2.664368   -0.842164    0.478726   -0.629552
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          1277.39         
     1            6          1274.21         initial simplex
     2            8          1037.72         expand
     3            9          1037.72         reflect
     4           10          1037.72         reflect
     5           11          1037.72         reflect
     6           13          878.143         expand
     7           15          684.615         expand
     8           16          684.615         reflect
     9           18          484.186         expand
    10           19          484.186         reflect
    11           21          288.911         expand
    12           22          288.911         reflect
    13           24          275.394         expand
    14           26          273.262         reflect
    15           27          273.262         reflect
    16           29          273.262         contract outside
    17           31          273.262         contract inside
    18           32          273.262         reflect
    19           34          272.215         contract inside
    20           36          272.215         contract inside
    21           38          272.215         contract inside
    22           40          272.215         contract inside
    23           42          272.215         contract inside
    24           43          272.215         reflect
    25           44          272.215         reflect
    26           46          271.568         contract inside
    27           48          271.107         contract inside
    28           49          271.107         reflect
    29           51          271.107         contract inside
    30           52          271.107         reflect
    31           54          271.103         reflect
    32           56          270.768         contract inside
    33           58          270.768         contract inside
    34           60          269.883         expand
    35           62          268.912         expand
    36           63          268.912         reflect
    37           65           267.98         expand
    38           66           267.98         reflect
    39           68          267.111         reflect
    40           70          266.269         expand
    41           71          266.269         reflect
    42           73          265.435         expand
    43           75          261.702         expand
    44           76          261.702         reflect
    45           78          257.884         expand
    46           80          257.884         contract outside
    47           82          253.264         expand
    48           83          253.264         reflect
    49           84          253.264         reflect
    50           85          253.264         reflect
    51           86          253.264         reflect
    52           88           251.46         reflect
    53           90           251.46         contract inside
    54           92          250.356         reflect
    55           93          250.356         reflect
    56           94          250.356         reflect
    57           96          250.356         contract inside
    58           98          250.356         contract inside
    59          100          250.356         contract inside
    60          102          250.356         contract inside
    61          104          250.356         contract inside
    62          106          250.356         contract outside
    63          108          250.356         contract inside
    64          109          250.356         reflect
    65          110          250.356         reflect
    66          111          250.356         reflect
    67          112          250.356         reflect
    68          119          250.356         shrink
    69          120          250.356         reflect
    70          127          250.294         shrink
    71          128          250.294         reflect
    72          129          250.294         reflect
    73          136          250.294         shrink
    74          138          250.236         reflect
    75          139          250.236         reflect
    76          141          250.236         contract inside
    77          142          250.236         reflect
    78          149          250.236         shrink
    79          151          250.236         contract inside
    80          152          250.236         reflect
    81          153          250.236         reflect
    82          160          250.236         shrink
    83          161          250.236         reflect
    84          162          250.236         reflect
    85          163          250.236         reflect
    86          164          250.236         reflect
    87          165          250.236         reflect
    88          167          250.236         contract inside
    89          174          250.236         shrink
    90          181          250.236         shrink
    91          188          250.236         shrink
    92          189          250.236         reflect
    93          196          250.236         shrink
    94          197          250.236         reflect
    95          204          250.236         shrink
    96          205          250.236         reflect
    97          206          250.236         reflect
    98          213          250.236         shrink
    99          214          250.236         reflect
   100          216          250.236         contract inside
   101          223          250.236         shrink
   102          224          250.236         reflect
   103          225          250.236         reflect
   104          232          250.236         shrink
   105          233          250.236         reflect
   106          234          250.236         reflect
   107          235          250.236         reflect
   108          236          250.236         reflect
   109          243          250.236         shrink
   110          244          250.236         reflect
   111          246          250.236         contract outside
   112          247          250.236         reflect
   113          249          250.236         contract outside
   114          250          250.236         reflect
   115          252          250.236         contract inside
   116          253          250.236         reflect
   117          260          250.236         shrink
   118          261          250.236         reflect
   119          262          250.236         reflect
   120          263          250.236         reflect
   121          264          250.236         reflect
   122          265          250.236         reflect
   123          266          250.236         reflect
   124          267          250.236         reflect
   125          268          250.236         reflect
   126          269          250.236         reflect
   127          270          250.236         reflect
   128          277          250.236         shrink
   129          278          250.236         reflect
   130          279          250.236         reflect
   131          280          250.236         reflect
   132          281          250.236         reflect
   133          283          250.236         contract outside
   134          284          250.236         reflect
   135          285          250.236         reflect
   136          286          250.236         reflect
   137          288          250.236         contract inside
   138          289          250.236         reflect
   139          296          250.236         shrink
   140          297          250.236         reflect
   141          298          250.236         reflect
   142          299          250.236         reflect
   143          300          250.236         reflect
   144          301          250.236         reflect
   145          303          250.236         contract inside
   146          304          250.236         reflect
   147          305          250.236         reflect
   148          306          250.236         reflect
   149          307          250.236         reflect
   150          308          250.236         reflect
   151          309          250.236         reflect
   152          311          250.236         contract inside
   153          318          250.236         shrink
   154          319          250.236         reflect
   155          320          250.236         reflect
   156          321          250.236         reflect
   157          322          250.236         reflect
   158          323          250.236         reflect
   159          324          250.236         reflect
   160          326          250.236         contract inside
   161          327          250.236         reflect
   162          329          250.236         contract inside
   163          331          250.236         contract outside
   164          332          250.236         reflect
   165          334          250.236         contract inside
   166          341          250.236         shrink
   167          342          250.236         reflect
   168          344          250.236         contract inside
   169          345          250.236         reflect
   170          346          250.236         reflect
   171          347          250.236         reflect
   172          349          250.236         contract inside
   173          350          250.236         reflect
   174          351          250.236         reflect
   175          358          250.236         shrink
   176          359          250.236         reflect
   177          361          250.236         contract inside
   178          362          250.236         reflect
   179          363          250.236         reflect
   180          364          250.236         reflect
   181          366          250.236         contract inside
   182          367          250.236         reflect
   183          369          250.236         contract inside
   184          371          250.236         contract inside
   185          378          250.236         shrink
   186          379          250.236         reflect
   187          381          250.236         contract inside
   188          382          250.236         reflect
   189          384          250.236         contract inside
   190          385          250.236         reflect
   191          386          250.236         reflect
   192          387          250.236         reflect
   193          388          250.236         reflect
   194          389          250.236         reflect
   195          396          250.236         shrink
   196          398          250.236         contract outside
   197          399          250.236         reflect
   198          400          250.236         reflect
   199          402          250.236         contract inside
   200          404          250.236         contract inside
   201          405          250.236         reflect
   202          406          250.236         reflect
   203          408          250.236         contract outside
   204          409          250.236         reflect
   205          416          250.236         shrink
   206          418          250.236         contract inside
   207          420          250.236         contract inside
   208          421          250.236         reflect
   209          422          250.236         reflect
   210          423          250.236         reflect
   211          424          250.236         reflect
   212          425          250.236         reflect
   213          426          250.236         reflect
   214          428          250.236         contract inside
   215          435          250.236         shrink
   216          437          250.236         contract inside
   217          438          250.236         reflect
   218          440          250.236         contract inside
   219          442          250.236         contract outside
   220          443          250.236         reflect
   221          445          250.236         contract inside
   222          446          250.236         reflect
   223          453          250.236         shrink
   224          455          250.236         contract inside
   225          456          250.236         reflect
   226          457          250.236         reflect
   227          458          250.236         reflect
   228          459          250.236         reflect
   229          460          250.236         reflect
   230          461          250.236         reflect
   231          463          250.236         contract inside
   232          470          250.236         shrink
   233          472          250.236         contract outside
   234          473          250.236         reflect
   235          474          250.236         reflect
   236          476          250.236         contract inside
   237          477          250.236         reflect
   238          478          250.236         reflect
   239          479          250.236         reflect
   240          481          250.236         contract inside
   241          482          250.236         reflect
   242          489          250.236         shrink
   243          491          250.236         contract inside
   244          492          250.236         reflect
   245          493          250.236         reflect
   246          495          250.236         contract inside
   247          496          250.236         reflect
   248          498          250.236         contract outside
   249          499          250.236         reflect
   250          500          250.236         reflect
 
Exiting: Maximum number of function evaluations has been exceeded
         - increase MaxFunEvals option.
         Current function value: 250.236082 


Obj. function:	    250.2361

theta1:	   -8.359532   -0.386818   -9.361837   -6.532274    4.540976   -4.452932

theta2	   -3.831949   -0.684563   -1.657882    0.316271   -0.513849

gradient-analytical
            2.8550
           -3.1748
           -2.6466
           14.0168
           32.2541

gradient-numerical I
           18.9565
           50.6252
           -1.3526
            3.5895
           16.6246

gradient-numerical II
            2.8550
           -3.1748
           -2.6466
           14.0168
           32.2541

hessian eigenvalues-numerical I
          -10.5224
            0.0188
           30.8029
          194.5483
          351.5207

hessian eigenvalues-numerical II
          -16.1540
            0.2599
           23.8198
          173.9145
          285.7827

========================================================================
                       optimization routine : 2
                     set of starting values : 3
========================================================================
theta2 starting values:
   -0.671239   -0.908876    0.387423   -0.209479    1.235660
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          500.112         
     1            6          499.549         initial simplex
     2            8          485.561         expand
     3           10          471.117         expand
     4           11          471.117         reflect
     5           12          471.117         reflect
     6           14            447.7         expand
     7           16          422.292         expand
     8           17          422.292         reflect
     9           19           398.52         expand
    10           21          367.422         expand
    11           22          367.422         reflect
    12           24           319.62         expand
    13           25           319.62         reflect
    14           27          281.462         expand
    15           28          281.462         reflect
    16           30          263.374         expand
    17           32          257.313         expand
    18           34          254.004         reflect
    19           35          254.004         reflect
    20           36          254.004         reflect
    21           38          254.004         contract inside
    22           40          254.004         contract inside
    23           42          254.004         contract inside
    24           44          254.004         contract inside
    25           46          254.004         contract inside
    26           47          254.004         reflect
    27           49          254.004         contract inside
    28           51          254.004         contract inside
    29           53           253.66         reflect
    30           54           253.66         reflect
    31           56           253.66         contract inside
    32           58          253.603         reflect
    33           60          253.374         reflect
    34           62          253.336         reflect
    35           63          253.336         reflect
    36           64          253.336         reflect
    37           66          253.333         contract inside
    38           67          253.333         reflect
    39           69          253.217         contract inside
    40           71          253.217         contract inside
    41           73          253.217         contract inside
    42           75          253.217         contract inside
    43           76          253.217         reflect
