2,1,4003,0,104.41,43.411,-5.7255,-2.3557,-54.971,1.6214,-0.24929,-0.20066,-4.4339,-0.68807,0.14437,1.2861,-0.17523,3.6998,1.4546,13.265,0.35705,0.23271,0.061639,2.2294,0.30834,11.284,0.763,0.19861,-0.24772,-0.82647,0.7607,-0.39299,2.6748,2.6748,-2.1766,1.3945,0.34224,-0.25274,1.0647,2.1766,-0.24772,-0.82647,0.7607,-0.39299,2.6748,2.6748,-536.24,1.082,11.349,25.304,1593.9,-536.24,1.082,11.349,25.304,1593.9
2,2,4001,0,117.57,43.421,-5.5993,-2.4078,-54.403,1.6467,-0.24216,-0.199,-4.3443,-0.67622,0.11813,1.2199,-0.18195,3.5107,1.3962,12.954,0.3463,0.22654,0.061442,2.1161,0.30402,10.895,0.76783,0.19295,0.30082,0.10744,0.72279,-0.87809,-0.48489,0.87809,-1.3891,2.1207,0.32503,-2.0013,-1.6843,2.1207,0.30082,0.10744,0.72279,-0.87809,-0.48489,0.87809,-492.79,1.0141,11.058,26.618,1535.3,-492.79,1.0141,11.058,26.618,1535.3
2,3,4000,0,112.97,53.698,-4.2303,-2.6399,-52.619,1.6637,-0.21592,-0.20642,-3.5889,-0.41762,-0.61062,-0.81195,-0.148,1.9085,0.87387,8.8506,0.52461,0.19599,0.05847,1.0828,0.31705,6.9285,1.2217,0.10937,0.22829,-0.55807,0.58678,-2.839,-0.67366,2.839,0.61301,0.42895,0.40145,-4.2515,-4.2551,4.2551,0.22829,-0.55807,0.58678,-2.839,-0.67366,2.839,-7.1969,0.1656,8.4678,61.556,552.1,-7.1969,0.1656,8.4678,61.556,552.1
2,4,4000,0,111.86,40.27,-7.593,-2.0224,-56.793,1.6879,-0.23406,-0.17453,-5.2396,-0.59586,-8.1718,1.3269,-0.17481,5.9073,1.8705,17.534,0.29519,0.23131,0.061266,3.3476,0.3863,15.844,1.0244,0.29265,-0.38471,0.094127,0.038617,-0.079346,0.56952,0.56952,-5.7627,1.3038,-0.2276,-0.016854,-3.2037,5.7627,-0.38471,0.094127,0.038617,-0.079346,0.56952,0.56952,-334.77,-1.3242,10.386,311.98,1237.9,-334.77,-1.3242,10.386,311.98,1237.9
2,5,4000,0,97.809,43.631,-5.6936,-2.4277,-54.373,1.5791,-0.2445,-0.19762,-4.3924,-0.72267,0.39755,1.3688,-0.19279,3.5211,1.4165,13.246,0.3891,0.22592,0.061395,2.1325,0.30053,10.859,0.73337,0.19651,-0.027709,-1.4812,0.75466,0.43098,-2.3849,2.3849,-3.672,0.70542,0.32969,0.34537,-2.0418,3.672,-0.027709,-1.4812,0.75466,0.43098,-2.3849,2.3849,-1137.7,-58.42,24.048,693.29,1595.6,-1137.7,-58.42,24.048,693.29,1595.6
3,1,84,30,5.2679,40.282,-7.504,-2.0685,-56.369,1.6868,-0.22709,-0.17304,-5.1736,-0.59928,-8.1397,1.321,-0.17867,5.7796,1.8659,17.607,0.29418,0.23012,0.061023,3.2918,0.38581,15.559,0.98875,0.28711,0.014814,0.026291,-0.00084584,0.0075575,-0.021294,0.026291,-0.0002978,0.024627,-0.00082924,0.016433,-0.01797,0.024627,0.014817,0.026288,-0.00084638,0.007552,-0.021285,0.026288,-2469,-40.759,7.6325,567.4,5070.2,-2469,-40.759,7.6325,567.4,5070.2
3,2,124,40,6.7859,40.282,-7.5048,-2.0674,-56.381,1.6872,-0.22731,-0.17309,-5.1747,-0.59944,-8.1394,1.3202,-0.17864,5.7809,1.8659,17.606,0.294,0.23015,0.061036,3.2924,0.3858,15.563,0.98944,0.28717,0.0051333,-0.0090894,-0.00029801,-0.012127,0.014289,0.014289,0.81245,-0.012542,-0.00034496,0.48648,0.022503,0.81245,0.0051282,-0.009092,-0.00029724,-0.012122,0.014283,0.014283,-1557.5,-399.25,-2.9091,158.37,1668.4,-1557.5,-399.25,-2.9091,158.37,1668.4
3,3,110,38,6.2775,40.282,-7.5069,-2.067,-56.385,1.6867,-0.22736,-0.1731,-5.1759,-0.59966,-8.1394,1.3215,-0.17859,5.7832,1.8661,17.607,0.29418,0.23017,0.061035,3.2934,0.38574,15.569,0.98943,0.28724,-7.7383e-05,-0.012263,0.00027977,0.00089143,0.015742,0.015742,-0.079334,-0.017072,0.00011775,0.041997,0.028779,0.079334,-8.1353e-05,-0.012265,0.00028035,0.00089545,0.015735,0.015735,-625.36,-116.97,32.093,238.84,1135.8,-625.36,-116.97,32.093,238.84,1135.8
3,4,108,36,7.2982,40.285,-7.4983,-2.0688,-56.366,1.6869,-0.22715,-0.17315,-5.1713,-0.59911,-8.1198,1.3201,-0.17844,5.7767,1.8652,17.594,0.2942,0.23019,0.061021,3.2902,0.38568,15.556,0.98878,0.28683,0.01422,0.01918,0.00092743,-0.0051814,0.065286,0.065286,-0.0098026,0.026356,0.00080195,0.01171,0.062792,0.062792,0.016416,0.028791,0.00079994,-0.0030732,0.05752,0.05752,-1952.6,-5.3543,309.51,507.16,3534.5,-1952.6,-5.3543,309.51,507.16,3534.5
3,5,118,38,6.3715,40.282,-7.5074,-2.0669,-56.384,1.6869,-0.22733,-0.17308,-5.1759,-0.59937,-8.1427,1.3212,-0.17862,5.7838,1.8662,17.608,0.29415,0.23014,0.061034,3.2938,0.38584,15.569,0.98974,0.28732,0.00082385,0.011156,0.00013431,0.0015141,-0.011598,0.011598,-0.13522,0.0049502,-0.00029109,0.068975,0.0084231,0.13522,0.00082895,0.011162,0.00013369,0.0015123,-0.011593,0.011593,-1042.9,-2.7331,251.26,371.94,1667.7,-1042.9,-2.7331,251.26,371.94,1667.7
